FAM;GEN;EPIT;SP
Acanthaceae;Aphelandra;longiflora;Aphelandra longiflora (Lindl.) Profice
Acanthaceae;Aphelandra;ornata;Aphelandra ornata (Nees) T.Anderson
Acanthaceae;Herpetacanthus;angustatus;Herpetacanthus angustatus Indriunas & Kameyama
Acanthaceae;Justicia;aequilabris;Justicia aequilabris (Nees) Lindau
Acanthaceae;Justicia;cydoniifolia;Justicia cydoniifolia (Nees) Lindau
Acanthaceae;Justicia;floribunda;Justicia floribunda (K.Koch) Wassh.
Acanthaceae;Justicia;rubriflora;Justicia rubriflora Wassh. & J.R.I.Wood
Acanthaceae;Poikilacanthus;glandulosus;Poikilacanthus glandulosus (Nees) Ariza
Acanthaceae;Ruellia;chamaedrys;Ruellia chamaedrys (Nees) Angely
Aizoaceae;Carpobrotus;edulis;Carpobrotus edulis (L) N.E.Br.
Aizoaceae;Mesembryanthemum;guyanense;Mesembryanthemum guyanense Klotsch ex Rohrbach
Aizoaceae;Trianthema;portulacastrum;Trianthema portulacastrum L.
Amaranthaceae;Amaranthus;blitum;Amaranthus blitum L.
Amaranthaceae;Blutaparon;portulacoides;Blutaparon portulacoides (A.St.-Hil.) Mears
Amaranthaceae;Gomphrena;schlechtendaliana;Gomphrena schlechtendaliana Mart.
Anacardiaceae;Astronium;urundeuva;Astronium urundeuva (M. Allemão) Engl.
Anacardiaceae;Sorindeia;ferruginea;Sorindeia ferruginea Engl.
Anacardiaceae;Spondias;mombin;Spondias mombin L.
Anemiaceae;Anemia;humilis;Anemia humilis (Cav.) Sw.
Anemiaceae;Anemia;pubescens;Anemia pubescens Mickel & Labiak
Annonaceae;Annona;exsucca;Annona exsucca DC.
Annonaceae;Annona;leptopetala;Annona leptopetala (R.E.Fr.) H.Rainer
Annonaceae;Ephedranthus;pisocarpus;Ephedranthus pisocarpus R.E.Fr.
Annonaceae;Guatteria;hirsuta;Guatteria hirsuta Ruiz & Pav.
Annonaceae;Guatteria;pogonopus;Guatteria pogonopus Mart.
Apiaceae;Apium;graveolens;Apium graveolens L.
Apocynaceae;Aspidosperma;pyrifolium;Aspidosperma pyrifolium Mart. & Zucc.
Apocynaceae;Himatanthus;drasticus;Himatanthus drasticus (Mart.) Plumel
Apocynaceae;Oxypetalum;erectum;Oxypetalum erectum Mart.
Apocynaceae;Oxypetalum;insigne;Oxypetalum insigne var. glabrum (Decne.) Fontella & E.A. Schwarz
Apocynaceae;Oxypetalum;pachyglossum;Oxypetalum pachyglossum Decne.
Apocynaceae;Peplonia;asteria;Peplonia asteria (Vell.) Fontella & E.A.Schwarz
Apocynaceae;Prestonia;denticulata;Prestonia denticulata (Vell.) Woodson
Apodanthaceae;Pilostyles;blanchetii;Pilostyles blanchetii (Gardner) R.Br.
Araceae;Dieffenbachia;seguine;Dieffenbachia seguine (Jacq.) Schott
Araceae;Philodendron;pedatum;Philodendron pedatum (Hook.) Kunth
Araceae;Thaumatophyllum;brasiliense;Thaumatophyllum brasiliense (Engl.) Sakur., Calazans & Mayo
Araliaceae;Heptapleurum;actinophyllum;Heptapleurum actinophyllum (Endl.) Lowry & G.M. Plunkett
Arecaceae;Cocos;nucifera;Cocos nucifera L.
Aristolochiaceae;Aristolochia;zebrina;Aristolochia zebrina J. Freitas & F. González
Asteraceae;Achyrocline;alata;Achyrocline alata (Kunth) DC.
Asteraceae;Albertinia;brasiliensis;Albertinia brasiliensis Spreng.
Asteraceae;Ayapana;triplinervis;Ayapana triplinervis (M.Vahl) R.M.King & H.Rob.
Asteraceae;Baccharis;linearifolia;Baccharis linearifolia (Lam.) Pers.
Asteraceae;Baccharis;ochracea;Baccharis ochracea Spreng.
Asteraceae;Baccharis;sessiliflora;Baccharis sessiliflora Vahl
Asteraceae;Blainvillea;acmella;Blainvillea acmella (L.) Philipson
Asteraceae;Calea;fruticosa;Calea fruticosa (Gardner) Urbatsch, Zlotsky & Pruski
Asteraceae;Heterocoma;albida;Heterocoma albida (DC. ex Pers.) DC.
Asteraceae;Lactuca;indica;Lactuca indica L.
Asteraceae;Lepidaploa;opposita;Lepidaploa opposita A.Teles, Sobral & J.N.Nakaj
Asteraceae;Moquiniastrum;blanchetianum;Moquiniastrum blanchetianum (DC.) G. Sancho
Asteraceae;Moquiniastrum;pulchrum;Moquiniastrum pulchrum (Cabrera) G.Sancho
Asteraceae;Piptocarpha;polycephala;Piptocarpha polycephala Baker
Asteraceae;Podocoma;blanchetiana;Podocoma blanchetiana Baker
Asteraceae;Praxelis;diffusa;Praxelis diffusa (Rich.) Pruski
Asteraceae;Pseudobaccharis;inamoena;Pseudobaccharis inamoena (Gardner) Malag.
Asteraceae;Stevia;gratioloides;Stevia gratioloides Hook. & Arn.
Asteraceae;Stilpnopappus;pratensis;Stilpnopappus pratensis Mart. ex DC.
Asteraceae;Synedrella;nodiflora;Synedrella nodiflora (L.) Gaertn.
Asteraceae;Vernonia;echioides;Vernonia echioides Less.
Athyriaceae;Diplazium;fimbriatum;Diplazium fimbriatum Mynssen &F.B. Matos
Bignoniaceae;Adenocalymma;apparicianum;Adenocalymma apparicianum J.C.Gomes
Bignoniaceae;Adenocalymma;imperatoris-maximilianii;Adenocalymma imperatoris-maximilianii (Wawra) L.G.Lohmann
Bignoniaceae;Amphilophium;paniculatum;Amphilophium paniculatum (L.) Kunth
Bignoniaceae;Anemopaegma;acutifolium;Anemopaegma acutifolium A. DC.
Bignoniaceae;Bignonia;hyacinthina;Bignonia hyacinthina (Standl.) L.G.Lohmann
Bignoniaceae;Cuspidaria;convoluta;Cuspidaria convoluta (Vell.) A.H.Gentry
Bignoniaceae;Cuspidaria;lateriflora;Cuspidaria lateriflora (Mart.) DC.
Bignoniaceae;Fridericia;caudigera;Fridericia caudigera (S.Moore) L.G.Lohmann
Bignoniaceae;Fridericia;fagoides;Fridericia fagoides (Cham.) L.G.Lohmann
Bignoniaceae;Fridericia;oxycarpa;Fridericia oxycarpa (Urb.) L.G.Lohmann
Bignoniaceae;Godmania;dardanoi;Godmania dardanoi (J.C.Gomes) A.H.Gentry
Bignoniaceae;Handroanthus;impetiginosus;Handroanthus impetiginosus (Mart. ex DC.) Mattos
Bignoniaceae;Handroanthus;serratifolius;Handroanthus serratifolius (Vahl) S.Grose
